duration,sample_duration,total_sample,class
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.8824036281179138,4.5351473922902495e-05,19457,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.64,4.5351473922902495e-05,14112,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.8960090702947846,4.5351473922902495e-05,19757,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.8533786848072562,4.5351473922902495e-05,18817,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.8359637188208617,4.5351473922902495e-05,18433,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.6502040816326531,4.5351473922902495e-05,14337,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.8824036281179138,4.5351473922902495e-05,19457,yes
0.8824036281179138,4.5351473922902495e-05,19457,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.98140589569161,4.5351473922902495e-05,21640,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.7430839002267574,4.5351473922902495e-05,16385,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.8359637188208617,4.5351473922902495e-05,18433,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.9752834467120182,4.5351473922902495e-05,21505,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.9752834467120182,4.5351473922902495e-05,21505,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.8960090702947846,4.5351473922902495e-05,19757,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.98140589569161,4.5351473922902495e-05,21640,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.9288435374149661,4.5351473922902495e-05,20481,yes
0.9752834467120182,4.5351473922902495e-05,21505,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.7680272108843538,4.5351473922902495e-05,16935,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.810702947845805,4.5351473922902495e-05,17876,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.9752834467120182,4.5351473922902495e-05,21505,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.6966439909297052,4.5351473922902495e-05,15361,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.8960090702947846,4.5351473922902495e-05,19757,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.8533786848072562,4.5351473922902495e-05,18817,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.8824036281179138,4.5351473922902495e-05,19457,yes
1.0,4.5351473922902495e-05,22050,yes
0.9288435374149661,4.5351473922902495e-05,20481,yes
1.0,4.5351473922902495e-05,22050,yes
0.8533786848072562,4.5351473922902495e-05,18817,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.7253968253968254,4.5351473922902495e-05,15995,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.8960090702947846,4.5351473922902495e-05,19757,yes
0.8533786848072562,4.5351473922902495e-05,18817,yes
1.0,4.5351473922902495e-05,22050,yes
0.9387301587301587,4.5351473922902495e-05,20699,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.6037641723356009,4.5351473922902495e-05,13313,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.9752834467120182,4.5351473922902495e-05,21505,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.8824036281179138,4.5351473922902495e-05,19457,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.9387301587301587,4.5351473922902495e-05,20699,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.7253968253968254,4.5351473922902495e-05,15995,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.8359637188208617,4.5351473922902495e-05,18433,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.5546938775510204,4.5351473922902495e-05,12231,yes
1.0,4.5351473922902495e-05,22050,yes
0.9288435374149661,4.5351473922902495e-05,20481,yes
0.98140589569161,4.5351473922902495e-05,21640,yes
0.8359637188208617,4.5351473922902495e-05,18433,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.8960090702947846,4.5351473922902495e-05,19757,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.98140589569161,4.5351473922902495e-05,21640,yes
0.8960090702947846,4.5351473922902495e-05,19757,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.8824036281179138,4.5351473922902495e-05,19457,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.8960090702947846,4.5351473922902495e-05,19757,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.8960090702947846,4.5351473922902495e-05,19757,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.6966439909297052,4.5351473922902495e-05,15361,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.8824036281179138,4.5351473922902495e-05,19457,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.8960090702947846,4.5351473922902495e-05,19757,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.6502040816326531,4.5351473922902495e-05,14337,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.7895238095238095,4.5351473922902495e-05,17409,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.98140589569161,4.5351473922902495e-05,21640,yes
1.0,4.5351473922902495e-05,22050,yes
0.7253968253968254,4.5351473922902495e-05,15995,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.7895238095238095,4.5351473922902495e-05,17409,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.9288435374149661,4.5351473922902495e-05,20481,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.810702947845805,4.5351473922902495e-05,17876,yes
1.0,4.5351473922902495e-05,22050,yes
0.9752834467120182,4.5351473922902495e-05,21505,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
0.98140589569161,4.5351473922902495e-05,21640,yes
1.0,4.5351473922902495e-05,22050,yes
1.0,4.5351473922902495e-05,22050,yes
